No1,Name1,No2,Name2,distance
0 AG,A/SWINE/IOWA/A02479002/2020,4 SR,A/SWINE/SOUTH DAKOTA/A02016893/2018 642,7.534970276695023
0 AG,A/SWINE/IOWA/A02479002/2020,5 SR,A/SWINE/SOUTH DAKOTA/A02016893/2018 643,5.984137440558316
0 AG,A/SWINE/IOWA/A02479002/2020,6 SR,A/SWINE/KANSAS/A02245346/2019 646,6.845667791724793
0 AG,A/SWINE/IOWA/A02479002/2020,7 SR,A/SWINE/KANSAS/A02245346/2019 647,5.875408689809418
0 AG,A/SWINE/IOWA/A02479002/2020,8 SR,A/SWINE/NORTH CAROLINA/A02479062/2020 644,6.275437107607374
0 AG,A/SWINE/IOWA/A02479002/2020,9 SR,A/SWINE/NORTH CAROLINA/A02479062/2020 645,6.276937126311768
0 AG,A/SWINE/IOWA/A02479002/2020,10 SR,A/SWINE/MINNESOTA/A02245409/2020 636,6.8751998983881855
0 AG,A/SWINE/IOWA/A02479002/2020,11 SR,A/SWINE/MINNESOTA/A02245409/2020 637,6.066480760256055
0 AG,A/SWINE/IOWA/A02479002/2020,12 SR,A/SWINE/IOWA/A02479110/2020 640,7.766113123411513
0 AG,A/SWINE/IOWA/A02479002/2020,13 SR,A/SWINE/IOWA/A02479110/2020 641,7.030760348454665
1 AG,A/SWINE/CALIFORNIA/A02478680/2019,0 SR,A/SWINE/IOWA/A02479002/2020 638,6.792228014815887
1 AG,A/SWINE/CALIFORNIA/A02478680/2019,1 SR,A/SWINE/IOWA/A02479002/2020 639,7.518909065314882
1 AG,A/SWINE/CALIFORNIA/A02478680/2019,2 SR,A/SWINE/CALIFORNIA/A02478680/2019 648,1.2151677684368591
1 AG,A/SWINE/CALIFORNIA/A02478680/2019,3 SR,A/SWINE/CALIFORNIA/A02478680/2019 649,2.05039500533744
1 AG,A/SWINE/CALIFORNIA/A02478680/2019,4 SR,A/SWINE/SOUTH DAKOTA/A02016893/2018 642,3.050697524143167
1 AG,A/SWINE/CALIFORNIA/A02478680/2019,5 SR,A/SWINE/SOUTH DAKOTA/A02016893/2018 643,2.1834489399944106
1 AG,A/SWINE/CALIFORNIA/A02478680/2019,6 SR,A/SWINE/KANSAS/A02245346/2019 646,0.8066917435321139
1 AG,A/SWINE/CALIFORNIA/A02478680/2019,7 SR,A/SWINE/KANSAS/A02245346/2019 647,1.175123359886404
1 AG,A/SWINE/CALIFORNIA/A02478680/2019,8 SR,A/SWINE/NORTH CAROLINA/A02479062/2020 644,1.252926536837784
1 AG,A/SWINE/CALIFORNIA/A02478680/2019,9 SR,A/SWINE/NORTH CAROLINA/A02479062/2020 645,1.3917185216571164
1 AG,A/SWINE/CALIFORNIA/A02478680/2019,10 SR,A/SWINE/MINNESOTA/A02245409/2020 636,2.2087360189584286
1 AG,A/SWINE/CALIFORNIA/A02478680/2019,11 SR,A/SWINE/MINNESOTA/A02245409/2020 637,1.2059356359134723
1 AG,A/SWINE/CALIFORNIA/A02478680/2019,12 SR,A/SWINE/IOWA/A02479110/2020 640,3.525142089273455
1 AG,A/SWINE/CALIFORNIA/A02478680/2019,13 SR,A/SWINE/IOWA/A02479110/2020 641,1.2757808140450166
2 AG,A/SWINE/SOUTH DAKOTA/A02016893/2018,0 SR,A/SWINE/IOWA/A02479002/2020 638,6.720873170999648
2 AG,A/SWINE/SOUTH DAKOTA/A02016893/2018,1 SR,A/SWINE/IOWA/A02479002/2020 639,7.411300806198905
2 AG,A/SWINE/SOUTH DAKOTA/A02016893/2018,2 SR,A/SWINE/CALIFORNIA/A02478680/2019 648,1.4535640185178738
2 AG,A/SWINE/SOUTH DAKOTA/A02016893/2018,3 SR,A/SWINE/CALIFORNIA/A02478680/2019 649,3.0654374932726562
2 AG,A/SWINE/SOUTH DAKOTA/A02016893/2018,4 SR,A/SWINE/SOUTH DAKOTA/A02016893/2018 642,0.8591435080968364
2 AG,A/SWINE/SOUTH DAKOTA/A02016893/2018,5 SR,A/SWINE/SOUTH DAKOTA/A02016893/2018 643,1.0117610818029692
2 AG,A/SWINE/SOUTH DAKOTA/A02016893/2018,6 SR,A/SWINE/KANSAS/A02245346/2019 646,1.9196834229910273
2 AG,A/SWINE/SOUTH DAKOTA/A02016893/2018,7 SR,A/SWINE/KANSAS/A02245346/2019 647,2.4676120504838823
2 AG,A/SWINE/SOUTH DAKOTA/A02016893/2018,8 SR,A/SWINE/NORTH CAROLINA/A02479062/2020 644,1.3291064756960187
2 AG,A/SWINE/SOUTH DAKOTA/A02016893/2018,9 SR,A/SWINE/NORTH CAROLINA/A02479062/2020 645,2.36161913314862
2 AG,A/SWINE/SOUTH DAKOTA/A02016893/2018,10 SR,A/SWINE/MINNESOTA/A02245409/2020 636,1.7079521448973305
2 AG,A/SWINE/SOUTH DAKOTA/A02016893/2018,11 SR,A/SWINE/MINNESOTA/A02245409/2020 637,1.7914426469571605
2 AG,A/SWINE/SOUTH DAKOTA/A02016893/2018,12 SR,A/SWINE/IOWA/A02479110/2020 640,2.7515427689587257
2 AG,A/SWINE/SOUTH DAKOTA/A02016893/2018,13 SR,A/SWINE/IOWA/A02479110/2020 641,1.3603324832649848
3 AG,A/SWINE/KANSAS/A02245346/2019,0 SR,A/SWINE/IOWA/A02479002/2020 638,6.213642105736063
3 AG,A/SWINE/KANSAS/A02245346/2019,1 SR,A/SWINE/IOWA/A02479002/2020 639,6.928265946950406
3 AG,A/SWINE/KANSAS/A02245346/2019,2 SR,A/SWINE/CALIFORNIA/A02478680/2019 648,0.7295092960974947
3 AG,A/SWINE/KANSAS/A02245346/2019,3 SR,A/SWINE/CALIFORNIA/A02478680/2019 649,1.764730509812765
3 AG,A/SWINE/KANSAS/A02245346/2019,4 SR,A/SWINE/SOUTH DAKOTA/A02016893/2018 642,2.936624682381987
3 AG,A/SWINE/KANSAS/A02245346/2019,5 SR,A/SWINE/SOUTH DAKOTA/A02016893/2018 643,1.6782680349121228
3 AG,A/SWINE/KANSAS/A02245346/2019,6 SR,A/SWINE/KANSAS/A02245346/2019 646,0.56850111481716
3 AG,A/SWINE/KANSAS/A02245346/2019,7 SR,A/SWINE/KANSAS/A02245346/2019 647,0.5398007614361895
3 AG,A/SWINE/KANSAS/A02245346/2019,8 SR,A/SWINE/NORTH CAROLINA/A02479062/2020 644,0.9964057125029059
3 AG,A/SWINE/KANSAS/A02245346/2019,9 SR,A/SWINE/NORTH CAROLINA/A02479062/2020 645,1.638038019881927
3 AG,A/SWINE/KANSAS/A02245346/2019,10 SR,A/SWINE/MINNESOTA/A02245409/2020 636,1.6984556264236927
3 AG,A/SWINE/KANSAS/A02245346/2019,11 SR,A/SWINE/MINNESOTA/A02245409/2020 637,0.5359042209338414
3 AG,A/SWINE/KANSAS/A02245346/2019,12 SR,A/SWINE/IOWA/A02479110/2020 640,3.0718555357796946
3 AG,A/SWINE/KANSAS/A02245346/2019,13 SR,A/SWINE/IOWA/A02479110/2020 641,1.1080351596174656
4 AG,A/SWINE/NORTH CAROLINA/A02479062/2020,0 SR,A/SWINE/IOWA/A02479002/2020 638,6.815486688796112
4 AG,A/SWINE/NORTH CAROLINA/A02479062/2020,1 SR,A/SWINE/IOWA/A02479002/2020 639,7.555220945707708
4 AG,A/SWINE/NORTH CAROLINA/A02479062/2020,2 SR,A/SWINE/CALIFORNIA/A02478680/2019 648,1.8559014572911379
4 AG,A/SWINE/NORTH CAROLINA/A02479062/2020,3 SR,A/SWINE/CALIFORNIA/A02478680/2019 649,3.269948652822165
4 AG,A/SWINE/NORTH CAROLINA/A02479062/2020,4 SR,A/SWINE/SOUTH DAKOTA/A02016893/2018 642,3.026249244133098
4 AG,A/SWINE/NORTH CAROLINA/A02479062/2020,5 SR,A/SWINE/SOUTH DAKOTA/A02016893/2018 643,2.463082398541644
4 AG,A/SWINE/NORTH CAROLINA/A02479062/2020,6 SR,A/SWINE/KANSAS/A02245346/2019 646,1.833844536908831
4 AG,A/SWINE/NORTH CAROLINA/A02479062/2020,7 SR,A/SWINE/KANSAS/A02245346/2019 647,1.9721672455379333
4 AG,A/SWINE/NORTH CAROLINA/A02479062/2020,8 SR,A/SWINE/NORTH CAROLINA/A02479062/2020 644,1.4867547299742647
4 AG,A/SWINE/NORTH CAROLINA/A02479062/2020,9 SR,A/SWINE/NORTH CAROLINA/A02479062/2020 645,0.6506456244523801
4 AG,A/SWINE/NORTH CAROLINA/A02479062/2020,10 SR,A/SWINE/MINNESOTA/A02245409/2020 636,3.0345105596294393
4 AG,A/SWINE/NORTH CAROLINA/A02479062/2020,11 SR,A/SWINE/MINNESOTA/A02245409/2020 637,1.8940394557492954
4 AG,A/SWINE/NORTH CAROLINA/A02479062/2020,12 SR,A/SWINE/IOWA/A02479110/2020 640,4.397830704079975
4 AG,A/SWINE/NORTH CAROLINA/A02479062/2020,13 SR,A/SWINE/IOWA/A02479110/2020 641,1.9684102735017535
